volume,samples,algorithm,iso,median_ms,vertices,triangles,non_manifold_edges,non_manifold_vertices,boundary_edges,degenerate_triangles,mean_ratio,irregular_vertices,euler_characteristic
fuel,64,marching_cubes,32,6.129161,3200,6338,0,0,24,164,0.700608491,1782,19
fuel,64,marching_cubes+decider,32,6.186042,3200,6338,0,0,24,164,0.701507899,1783,19
fuel,64,marching_tetrahedra,32,8.889945,9666,19252,0,0,42,494,0.645576736,3306,19
fuel,64,surface_nets,32,6.615706,3199,6352,8,16,24,0,0.797601832,1159,19
fuel,64,dual_contouring,32,17.123854,3199,6352,8,16,24,0,0.722849909,1159,19
fuel,64,manifold_dual_contouring,32,11.456967,3207,6352,0,0,24,0,0.723259966,1163,19
fuel,64,subgrid_marching_tetrahedra,32,3941.297389,9517,18946,8,12,50,0,0.662157163,3368,27
bonsai,256,marching_cubes,32,578.054778,533221,1061042,0,0,4366,58097,0.688771185,284653,517
bonsai,256,marching_cubes+decider,32,512.950501,533270,1061438,0,0,4366,58739,0.688440989,284725,368
bonsai,256,marching_tetrahedra,32,980.342758,1639829,3271492,0,0,7660,190031,0.637482251,556101,253
bonsai,256,surface_nets,32,544.777655,529508,1057710,1776,3431,4296,4647,0.795722042,189015,251
bonsai,256,dual_contouring,32,1518.169797,529488,1057710,1776,3431,4290,812,0.664906820,189001,251
bonsai,256,manifold_dual_contouring,32,1641.521734,531530,1057710,85,173,4336,840,0.665012043,189434,602
