field,algorithm,samples,median_ms,vertices,triangles,non_manifold_edges,self_intersections_per_1k,hausdorff
sphere,marching_cubes,33,0.316792,1158,2312,0,0,5.361365993103549e-3
sphere,marching_cubes+decider,33,0.312852,1158,2312,0,0,5.361365993103549e-3
sphere,marching_tetrahedra,33,0.661404,3518,7032,0,0,5.510929605754827e-3
sphere,surface_nets,33,1.252997,1160,2316,0,0,8.557958950670396e-3
sphere,dual_contouring,33,2.301814,1160,2316,0,0,4.520998737296712e-3
sphere,manifold_dual_contouring,33,2.450614,1160,2316,0,0,4.520998737296712e-3
sphere,subgrid_marching_tetrahedra,33,73.246249,3500,6996,0,0,4.349931262491296e-3
sphere,marching_cubes,65,2.291784,4758,9512,0,,1.3292677821412514e-3
sphere,marching_cubes+decider,65,2.280283,4758,9512,0,,1.3292677821412514e-3
sphere,marching_tetrahedra,65,4.436686,14282,28560,0,,1.4127777924831685e-3
sphere,surface_nets,65,9.992139,4760,9516,0,,2.251034304034862e-3
sphere,dual_contouring,65,13.823211,4760,9516,0,,1.09311271728112e-3
sphere,manifold_dual_contouring,65,14.620146,4760,9516,0,,1.09311271728112e-3
sphere,subgrid_marching_tetrahedra,65,547.065687,14264,28524,0,,1.0832597202187647e-3
torus,marching_cubes,33,0.392282,1128,2256,0,0,1.3788261708045094e-2
torus,marching_cubes+decider,33,0.399713,1128,2256,0,0,1.3788261708045094e-2
torus,marching_tetrahedra,33,0.759584,3424,6848,0,0,1.9014097986168575e-2
torus,surface_nets,33,1.324848,1128,2256,0,0,2.1352427647167303e-2
torus,dual_contouring,33,2.406104,1128,2256,0,0,1.1084884692542303e-2
torus,manifold_dual_contouring,33,2.564725,1128,2256,0,0,1.1084884692542303e-2
torus,subgrid_marching_tetrahedra,33,113.004483,3464,6928,0,0,1.1159477768581175e-2
torus,marching_cubes,65,2.848246,4208,8416,0,,3.976397704360292e-3
torus,marching_cubes+decider,65,2.842917,4208,8416,0,,3.976397704360292e-3
torus,marching_tetrahedra,65,5.100640,13160,26320,0,,4.691673118955441e-3
torus,surface_nets,65,10.567132,4208,8416,0,,5.420016719208807e-3
torus,dual_contouring,65,14.170404,4208,8416,0,,2.4780812918868997e-3
torus,manifold_dual_contouring,65,14.842977,4208,8416,0,,2.4780812918868997e-3
torus,subgrid_marching_tetrahedra,65,841.750433,13176,26352,0,,3.411750116974352e-3
box_exact,marching_cubes,33,0.322762,1350,2696,0,0,1.4433756729740646e-1
box_exact,marching_cubes+decider,33,0.328462,1350,2696,0,0,1.4433756729740646e-1
box_exact,marching_tetrahedra,33,0.775975,5222,10440,0,0,1.0206207261596575e-1
box_exact,surface_nets,33,1.259897,1352,2700,0,0,1.443375672974067e-1
box_exact,dual_contouring,33,1.921131,1352,2700,0,0,1.4290848247268618e-3
box_exact,manifold_dual_contouring,33,2.054292,1352,2700,0,0,1.4290848247268618e-3
box_exact,subgrid_marching_tetrahedra,33,121.875377,1442,2880,0,0,1.0206207261596575e-1
box_exact,marching_cubes,65,2.385984,5766,11528,0,,7.216878364870323e-2
box_exact,marching_cubes+decider,65,2.407894,5766,11528,0,,7.216878364870323e-2
box_exact,marching_tetrahedra,65,5.314021,22694,45384,0,,5.103103630798288e-2
box_exact,surface_nets,65,10.064300,5768,11532,0,,7.216878364870336e-2
box_exact,dual_contouring,65,12.857356,5768,11532,0,,7.145424123633348e-4
box_exact,manifold_dual_contouring,65,13.530459,5768,11532,0,,7.145424123633348e-4
box_exact,subgrid_marching_tetrahedra,65,899.906486,5954,11904,0,,5.103103630798288e-2
csg_difference,marching_cubes,33,0.401942,1386,2768,0,0,1.5144547775224135e-1
csg_difference,marching_cubes+decider,33,0.405153,1386,2768,0,0,1.5144547775224135e-1
csg_difference,marching_tetrahedra,33,0.891766,5288,10572,0,0,1.0206207261596575e-1
csg_difference,surface_nets,33,1.364337,1388,2772,0,0,1.5255161367266593e-1
csg_difference,dual_contouring,33,2.161183,1388,2772,0,0,2.365409144062276e-2
